x y z value
0 0 0 0
0.0959668 0.0315185 0.10101 0.14285
0.162681 0.119779 0.20202 0.2857
0.175775 0.246841 0.30303 0.42855
0.119968 0.385819 0.40404 0.571399
-0.00801311 0.504987 0.505051 0.714249
-0.198223 0.572728 0.606061 0.857099
-0.428209 0.56266 0.707071 0.999949
-0.665597 0.45823 0.808081 1.1428
-0.872266 0.256121 0.909091 1.28565
-1.00959 -0.0320484 1.0101 1.4285
-1.0441 -0.380022 1.11111 1.57135
-0.952792 -0.749284 1.21212 1.7142
-0.72737 -1.09327 1.31313 1.85705
-0.376832 -1.36301 1.41414 1.9999
0.0720938 -1.51344 1.51515 2.14275
0.576786 -1.50973 1.61616 2.2856
1.08277 -1.33278 1.71717 2.42845
1.52955 -0.982983 1.81818 2.5713
1.85768 -0.482001 1.91919 2.71415
2.01613 0.128129 2.0202 2.857
1.96927 0.788375 2.12121 2.99985
1.70232 1.42842 2.22222 3.1427
1.22487 1.97411 2.32323 3.28555
0.571537 2.35591 2.42424 3.4284
-0.200126 2.51731 2.52525 3.57125
-1.01464 2.42234 2.62626 3.7141
-1.78598 2.06114 2.72727 3.85695
-2.42662 1.45282 2.82828 3.9998
-2.85732 0.645354 2.92929 4.14265
-3.01658 -0.288049 3.0303 4.2855
-2.86862 -1.25544 3.13131 4.42835
-2.40894 -2.15521 3.23232 4.5712
-1.66667 -2.88675 3.33333 4.71405
-0.703376 -3.36154 3.43434 4.8569
0.391852 -3.51357 3.53535 4.99974
1.5106 -3.30775 3.63636 5.14259
2.53584 -2.74544 3.73737 5.28544
3.35417 -1.86621 3.83838 5.42829
3.8682 -0.745535 3.93939 5.57114
4.0079 0.511485 4.0404 5.71399
3.73939 1.77996 4.14141 5.85684
3.07039 2.92761 4.24242 5.99969
2.05128 3.82853 4.34343 6.14254
0.77177 4.37692 4.44444 6.28539
-0.646886 4.49919 4.54545 6.42824
-2.06334 4.1632 4.64646 6.57109
-3.33023 3.3835 4.74747 6.71394
-4.30951 2.2217 4.84848 6.85679
-4.88732 0.782027 4.94949 6.99964
-4.98707 -0.797987 5.05051 7.14249
-4.57885 -2.36056 5.15152 7.28534
-3.68451 -3.74344 5.25253 7.42819
-2.37733 -4.79673 5.35354 7.57104
-0.776263 -5.39903 5.45455 7.71389
0.964712 -5.47115 5.55556 7.85674
2.67143 -4.986 5.65657 7.99959
4.16695 -3.97318 5.75758 8.14244
5.28987 -2.51799 5.85859 8.28529
5.91165 -0.75444 5.9596 8.42814
5.95108 1.14698 6.06061 8.57099
5.38432 2.99576 6.16162 8.71384
4.24925 4.60047 6.26263 8.85669
2.64355 5.78857 6.36364 8.99954
0.71653 6.42481 6.46465 9.14239
-1.34469 6.42648 6.56566 9.28524
-3.33333 5.7735 6.66667 9.42809
-5.04371 4.51248 6.76768 9.57094
-6.29246 2.75387 6.86869 9.71379
-6.93814 0.662512 6.9697 9.85664
-6.89698 -1.55775 7.07071 9.99949
-6.15321 -3.68395 7.17172 10.1423
-4.76262 -5.49636 7.27273 10.2852
-2.84881 -6.8012 7.37374 10.428
-0.592373 -7.45124 7.47475 10.5709
1.78605 -7.36221 7.57576 10.7137
4.04739 -6.52314 7.67677 10.8566
5.95812 -4.99946 7.77778 10.9994
7.31441 -2.92825 7.87879 11.1423
7.96373 -0.50611 7.9798 11.2851
7.82181 2.02948 8.08081 11.428
6.88298 4.42342 8.18182 11.5708
5.22276 6.42869 8.28283 11.7137
2.99208 7.83174 8.38384 11.8565
0.403725 8.47524 8.48485 11.9994
-2.28791 8.27541 8.58586 12.1422
-4.81183 7.23242 8.68687 12.2851
-6.90774 5.43231 8.78788 12.4279
-8.35282 3.04018 8.88889 12.5708
-8.98537 0.285231 8.9899 12.7136
-8.72266 -2.56121 9.09091 12.8565
-7.57117 -5.21237 9.19192 12.9993
-5.62789 -7.39496 9.29293 13.1422
-3.07246 -8.87728 9.39394 13.285
-0.150647 -9.49375 9.49495 13.4279
2.84924 -9.1632 9.59596 13.5707
5.62479 -7.89892 9.69697 13.7136
7.89002 -5.8093 9.79798 13.8564
9.40474 -3.08882 9.89899 13.9993
10 -1.22465e-14 10 14.1421
