x y z velx vely velz temp
0 0 0 0 0 0 0.5
0.0959668 0.0315185 0.10101 0.10101 0.105813 0.139329 0.489899
0.162681 0.119779 0.20202 0.20202 0.23486 0.259379 0.479798
0.175775 0.246841 0.30303 0.30303 0.390843 0.35032 0.469697
0.119968 0.385819 0.40404 0.40404 0.558664 0.421475 0.459596
-0.00801311 0.504987 0.505051 0.505051 0.714204 0.505114 0.449495
-0.198223 0.572728 0.606061 0.606061 0.833862 0.637653 0.439394
-0.428209 0.56266 0.707071 0.707071 0.903623 0.826627 0.429293
-0.665597 0.45823 0.808081 0.808081 0.928962 1.04691 0.419192
-0.872266 0.256121 0.909091 0.909091 0.944481 1.25988 0.409091
-1.00959 -0.0320484 1.0101 1.0101 1.01061 1.42814 0.39899
-1.0441 -0.380022 1.11111 1.11111 1.1743 1.5247 0.388889
-0.952792 -0.749284 1.21212 1.21212 1.42501 1.54177 0.378788
-0.72737 -1.09327 1.31313 1.31313 1.70867 1.50113 0.368687
-0.376832 -1.36301 1.41414 1.41414 1.96407 1.46349 0.358586
0.0720938 -1.51344 1.51515 1.51515 2.14153 1.51687 0.348485
0.576786 -1.50973 1.61616 1.61616 2.21162 1.716 0.338384
1.08277 -1.33278 1.71717 1.71717 2.1737 2.03004 0.328283
1.52955 -0.982983 1.81818 1.81818 2.06689 2.37599 0.318182
1.85768 -0.482001 1.91919 1.91919 1.97879 2.67101 0.308081
2.01613 0.128129 2.0202 2.0202 2.02426 2.85412 0.29798
1.96927 0.788375 2.12121 2.12121 2.26298 2.8944 0.287879
1.70232 1.42842 2.22222 2.22222 2.64171 2.79932 0.277778
1.22487 1.97411 2.32323 2.32323 3.04869 2.62635 0.267677
0.571537 2.35591 2.42424 2.42424 3.38042 2.4907 0.257576
-0.200126 2.51731 2.52525 2.52525 3.56563 2.53317 0.247475
-1.01464 2.42234 2.62626 2.62626 3.57282 2.81545 0.237374
-1.78598 2.06114 2.72727 2.72727 3.41852 3.26002 0.227273
-2.42662 1.45282 2.82828 2.82828 3.1796 3.72662 0.217172
-2.85732 0.645354 2.92929 2.92929 2.99954 4.09207 0.207071
-3.01658 -0.288049 3.0303 3.0303 3.04396 4.2758 0.19697
-2.86862 -1.25544 3.13131 3.13131 3.37361 4.24666 0.186869
-2.40894 -2.15521 3.23232 3.23232 3.88495 4.03124 0.176768
-1.66667 -2.88675 3.33333 3.33333 4.40959 3.72678 0.166667
-0.703376 -3.36154 3.43434 3.43434 4.80569 3.50563 0.156566
0.391852 -3.51357 3.53535 3.53535 4.98437 3.557 0.146465
1.5106 -3.30775 3.63636 3.63636 4.91573 3.93765 0.136364
2.53584 -2.74544 3.73737 3.73737 4.63739 4.51647 0.126263
3.35417 -1.86621 3.83838 3.83838 4.26801 5.09742 0.116162
3.8682 -0.745535 3.93939 3.93939 4.00932 5.52103 0.106061
4.0079 0.511485 4.0404 4.0404 4.07265 5.69106 0.0959596
3.73939 1.77996 4.14141 4.14141 4.50772 5.57982 0.0858586
3.07039 2.92761 4.24242 4.24242 5.15452 5.23693 0.0757576
2.05128 3.82853 4.34343 4.34343 5.78991 4.80345 0.0656566
0.77177 4.37692 4.44444 4.44444 6.23783 4.51095 0.0555556
-0.646886 4.49919 4.54545 4.54545 6.39561 4.59125 0.0454545
-2.06334 4.1632 4.64646 4.64646 6.23874 5.08399 0.0353535
-3.33023 3.3835 4.74747 4.74747 5.8298 5.79905 0.0252525
-4.30951 2.2217 4.84848 4.84848 5.33327 6.48688 0.0151515
-4.88732 0.782027 4.94949 4.94949 5.01089 6.95582 0.00505051
-4.98707 -0.797987 5.05051 5.05051 5.11316 7.09778 0.00505051
-4.57885 -2.36056 5.15152 5.15152 5.6666 6.89231 0.0151515
-3.68451 -3.74344 5.25253 5.25253 6.44999 6.41597 0.0252525
-2.37733 -4.79673 5.35354 5.35354 7.18812 5.85765 0.0353535
-0.776263 -5.39903 5.45455 5.45455 7.67473 5.50951 0.0454545
0.964712 -5.47115 5.55556 5.55556 7.79729 5.63869 0.0555556
2.67143 -4.986 5.65657 5.65657 7.54035 6.25566 0.0656566
4.16695 -3.97318 5.75758 5.75758 6.99542 7.10726 0.0757576
5.28987 -2.51799 5.85859 5.85859 6.37678 7.8934 0.0858586
5.91165 -0.75444 5.9596 5.9596 6.00716 8.39431 0.0959596
5.95108 1.14698 6.06061 6.06061 6.16818 8.4939 0.106061
5.38432 2.99576 6.16162 6.16162 6.85128 8.18269 0.116162
4.24925 4.60047 6.26263 6.26263 7.77077 7.56813 0.126263
2.64355 5.78857 6.36364 6.36364 8.60252 6.89088 0.136364
0.71653 6.42481 6.46465 6.46465 9.11427 6.50423 0.146465
-1.34469 6.42648 6.56566 6.56566 9.18736 6.70194 0.156566
-3.33333 5.7735 6.66667 6.66667 8.81917 7.45356 0.166667
-5.04371 4.51248 6.76768 6.76768 8.13412 8.44041 0.176768
-6.29246 2.75387 6.86869 6.86869 7.40018 9.31525 0.186869
-6.93814 0.662512 6.9697 6.9697 7.00111 9.83435 0.19697
-6.89698 -1.55775 7.07071 7.07071 7.24027 9.87741 0.207071
-6.15321 -3.68395 7.17172 7.17172 8.06257 9.44963 0.217172
-4.76262 -5.49636 7.27273 7.27273 9.11606 8.6934 0.227273
-2.84881 -6.8012 7.37374 7.37374 10.0314 7.90492 0.237374
-0.592373 -7.45124 7.47475 7.47475 10.5543 7.49818 0.247475
1.78605 -7.36221 7.57576 7.57576 10.5638 7.78345 0.257576
4.04739 -6.52314 7.67677 7.67677 10.0739 8.67837 0.267677
5.95812 -4.99946 7.77778 7.77778 9.24599 9.7976 0.277778
7.31441 -2.92825 7.87879 7.87879 8.40535 10.7506 0.287879
7.96373 -0.50611 7.9798 7.9798 7.99583 11.2738 0.29798
7.82181 2.02948 8.08081 8.08081 8.33176 11.2463 0.308081
6.88298 4.42342 8.18182 8.18182 9.30101 10.6919 0.318182
5.22276 6.42869 8.28283 8.28283 10.4849 9.79196 0.328283
2.99208 7.83174 8.38384 8.38384 11.4728 8.90176 0.338384
0.403725 8.47524 8.48485 8.48485 11.9926 8.49445 0.348485
-2.28791 8.27541 8.58586 8.58586 11.9247 8.88546 0.358586
-4.81183 7.23242 8.68687 8.68687 11.3035 9.93053 0.368687
-6.90774 5.43231 8.78788 8.78788 10.3313 11.1778 0.378788
-8.35282 3.04018 8.88889 8.88889 9.39442 12.1976 0.388889
-8.98537 0.285231 8.9899 8.9899 8.99442 12.7104 0.39899
-8.72266 -2.56121 9.09091 9.09091 9.44481 12.5988 0.409091
