density c2 c3 c4 c5 c6 c7 c8
5.70088 5.14782 4.74342 4.52769 4.52769 4.74342 5.14782 5.70088
4.94975 4.30116 3.80789 3.53553 3.53553 3.80789 4.30116 4.94975
4.30116 3.53553 2.91548 2.54951 2.54951 2.91548 3.53553 4.30116
3.80789 2.91548 2.12132 1.58114 1.58114 2.12132 2.91548 3.80789
3.53553 2.54951 1.58114 0.707107 0.707107 1.58114 2.54951 3.53553
3.53553 2.54951 1.58114 0.707107 0.707107 1.58114 2.54951 3.53553
3.80789 2.91548 2.12132 1.58114 1.58114 2.12132 2.91548 3.80789
4.30116 3.53553 2.91548 2.54951 2.54951 2.91548 3.53553 4.30116
4.94975 4.30116 3.80789 3.53553 3.53553 3.80789 4.30116 4.94975
5.70088 5.14782 4.74342 4.52769 4.52769 4.74342 5.14782 5.70088
